Name,SpType,LType,n_SpType,Sec,RA J2000 h:m:s,DE J2000 d:m:s,Vmag,Refs
Cyg OB2-5 ,O7 ,Ia ,nfp ,sec ,20 32 22.492,+41 18 19.52,  ,W73
Cyg OB2-22 B ,O6 ,V ,((f)) , ,20 33 08.800,+41 13 14.00,  ,W02a
Cyg OB2-22 A ,O3 ,I ,f* , ,20 33 08.900,+41 13 15.00,  ,W02a
Cyg OB2-9 ,O5 ,I ,f+ , ,20 33 10.734,+41 15 08.25,  ,W73
Cyg OB2-7 ,O3 ,I ,f* , ,20 33 14.112,+41 20 21.88,  ,W02a
Cyg OB2-8 A ,O6 ,Ib ,(n)(f) ,sec? ,20 33 15.078,+41 18 50.51,  ,W73
Cyg OB2-8 C ,O5 ,III ,(f) , ,20 33 17.977,+41 18 31.19,  ,W73
Cyg OB2-11 ,O5 ,I ,f+ , ,20 34 08.514,+41 36 59.42,  ,W73
Y Cyg ,O9 ,V , ,O9.5 V ,20 52 03.577,+34 39 27.51,7.296,M98
HD 199579 ,O6 ,V ,((f)) , ,20 56 34.779,+44 55 29.01,5.958,M98
HD 201345 ,ON9 ,V ,  , ,21 07 55.416,+33 23 49.25,7.66,M98
HD 202124 ,O9.5 ,Iab ,  , ,21 12 28.389,+44 31 54.14,7.813,M98
68 Cyg ,O7.5 ,III: ,n((f)) , ,21 18 27.187,+43 56 45.40,4.994,M98
HD 206267 ,O6.5 ,V ,((f)) , ,21 38 57.618,+57 29 20.55,5.77,"M98,D99"
HD 207198 ,O9 ,Ib-II ,  , ,21 44 53.278,+62 27 38.05,5.943,M98
HD 209481 ,O9 ,V: , ,sec ,22 02 04.576,+58 00 01.33,5.55,M98
19 Cep ,O9.5 ,Ib ,  , ,22 05 08.791,+62 16 47.35,5.101,M98
{lambda} Cep ,O6 ,I ,(n)fp , ,22 11 30.584,+59 24 52.25,5.043,"H01,M98"
HD 210809 ,O9 ,Iab ,  , ,22 11 38.601,+52 25 47.95,7.55,M98
GP Cep ,O8-B0 ,III: , ,WN6 ,22 18 45.604,+56 07 33.90,9.027,H64
10 Lac ,O9 ,V ,  , ,22 39 15.679,+39 03 01.01,4.874,M98
HD 215835 ,O6 ,V ,(n) , ,22 46 54.111,+58 05 03.55,8.583,"H64,M98"
HD 216532 ,O8.5 ,V ,((n)) , ,22 52 30.555,+62 26 25.92,8.007,G92
HD 216898 ,O9 ,IV ,  , ,22 55 42.460,+62 18 22.83,8.01,G92
HD 217086 ,O7 ,V ,n , ,22 56 47.194,+62 43 37.60,7.646,M98
HD 218195 ,O9 ,III ,  , ,23 05 13.050,+58 14 29.49,8.357,G92
HD 218915 ,O9.5 ,Iab ,  , ,23 11 06.948,+53 03 29.64,7.2,M98
BD +60 2522 ,O6.5 , ,(n)(f)p , ,23 20 44.519,+61 11 40.53,8.658,G92
